dataset;study;other.dataset.in.this.study;other.dataset.in.this.study.2;SFR.reported;SFR.substracted;technique;data.type;control;solvents;solvents.subtracted;concentration;comment;link;DOI
Bruyne.1999.WT;de Bruyne et.al.,1999;;;yes;yes;electrophysiology;spikes;paraffin oil;paraffin oil;;10^-2;;http://www.jneurosci.org/cgi/content/abstract/19/11/4520;
Bruyne.2001.RR;de Bruyne et.al.,2001;Bruyne.2001.WT;;no;no;electrophysiology;spikes;paraffin oil;paraffin oil;;10^-2;;http://www.cell.com/neuron/retrieve/pii/S0896627301002896;10.1016/S0896-6273(01)00289-6
Bruyne.2001.WT;de Bruyne et.al.,2001;Bruyne.2001.RR;;yes;yes;electrophysiology;spikes;paraffin oil;paraffin oil;;10^-2;;http://www.cell.com/neuron/retrieve/pii/S0896627301002896;10.1016/S0896-6273(01)00289-6
Dobritsa.2003.EN;Dobritsa et.al.,2003;;;no;no;electrophysiology;spikes;paraffin oil;paraffin oil;;1% v/v;;http://www.cell.com/neuron/retrieve/pii/S0896627303000941;10.1016/S0896-6273(03)00094-1
Goldman.2005.EN;Goldman et.al.,2005;Goldman.2005.WT;;no;yes;electrophysiology;spikes;paraffin oil;paraffin oil;;1% v/v, while solids were dissolved at 10 mg/ml paraffin oil;;http://www.cell.com/neuron/retrieve/pii/S0896627305000577;10.1016/j.neuron.2005.01.025
Goldman.2005.WT;Goldman et.al.,2005;Goldman.2005.EN;;no;yes;electrophysiology;spikes;paraffin oil;paraffin oil;;1% v/v, while solids were dissolved at 10 mg/ml paraffin oil;;http://www.cell.com/neuron/retrieve/pii/S0896627305000577;10.1016/j.neuron.2005.01.025
Hallem.2004.EN;Hallem et.al.,2004;Hallem.2004.WT;;yes;only in datasets with inhibition;electrophysiology;spikes;air;Acetoin and 1-propanethiol were diluted in water, all others odors in paraffin oil;;;;http://www.cell.com/retrieve/pii/S0092867404004982;10.1016/j.cell.2004.05.012
Hallem.2004.WT;Hallem et.al.,2004;Hallem.2004.EN;;yes;only in datasets with inhibition;electrophysiology;spikes;air;Acetoin and 1-propanethiol were diluted in water, all others odors in paraffin oil;;;;http://www.cell.com/retrieve/pii/S0092867404004982;10.1016/j.cell.2004.05.012
Hallem.2006.EN;Hallem et.al.,2006;;;yes;yes;electrophysiology;spikes;purified air stream ;methanol, ethanol, acetaldehyde, acetic acid, propionic acid, butyric acid, valeric acid, hexanoic acid, isobutyric acid, isovaleric acid, pyruvic acid, lactic acid, formic acid,ammonium hydroxide, putrescine, and cadaverine were diluted in H2O <br>all other odorants were diluted in paraffin oil;;10^-2;;http://www.cell.com/retrieve/pii/S0092867406003631;10.1016/j.cell.2006.01.050
Kreher.2005.EN;Kreher et.al.,2005;;;yes;no;electrophysiology;spikes;air;paraffin oil, exception propionic acid was diluted in waster,;;;;http://www.cell.com/neuron/abstract/S0896-6273%2805%2900320-X;10.1016/j.neuron.2005.04.007
Kreher.2008.EN;Kreher et.al.,2008;;;yes;yes;electrophysiology;spikes;air;;;;;http://www.cell.com/neuron/abstract/S0896-6273%2808%2900503-5;10.1016/j.neuron.2008.06.010
Kwon.2007.EN;Kwon et.al.,2007;Kwon.2007.WT;;yes;yes;electrophysiology;spikes;air;CO2 was diluted in N2.;;;;http://www.pnas.org/content/104/9/3574.abstract;10.1073/pnas.0700079104
Kwon.2007.WT;Kwon et.al.,2007;Kwon.2007.EN;;no;yes;electrophysiology;spikes;air;CO2 was diluted in N2.;;;;http://www.pnas.org/content/104/9/3574.abstract;10.1073/pnas.0700079104
Galizia.2009.nmr;Galizia et. al.,2009;;;no SFR;no SFR;calcium imaging;normalized mean responses;mineral oil;mineral oil;;;;;10.1093/chemse/bjq042
Nissler.2007.EC50;Nissler et.al.,2007;Nissler.2007.nmr;;no SFR;no SFR;calcium imaging;normalized mean responses;mineral oil;mineral oil;;;;;10.1093/chemse/bjq042
Nissler.2007.nmr;Nissler et.al.,2007;Nissler.2007.EC50;;no SFR;no SFR;calcium imaging;EC50;mineral oil;mineral oil;;;;;10.1093/chemse/bjq042
Pelz.2005.ALnmr;Pelz et.al.,2005;Pelz.2005.Antnmr;Pelz.2005.Or47bnmr;no SFR;no SFR;calcium imaging;normalized mean responses;mineral oil;mineral oil;;10^-2 (vol/vol);;http://www.diss.fu-berlin.de/2005/335/index.html;
Pelz.2005.Antnmr;Pelz et.al.,2005;Pelz.2005.ALnmr;Pelz.2005.Or47bnmr;no SFR;no SFR;calcium imaging;normalized mean responses;mineral oil;mineral oil;;10^-2 (vol/vol);;http://www.diss.fu-berlin.de/2005/335/index.html;
Pelz.2005.Or47bnmr;Pelz et.al.,2005;Pelz.2005.ALnmr;Pelz.2005.Antnmr;no SFR;no SFR;calcium imaging;normalized mean responses;mineral oil;mineral oil;;10^-2 (vol/vol);;http://www.diss.fu-berlin.de/2005/335/index.html;
Pelz.2006.ALEC50;Pelz et.al.,2006;Pelz.2006.AntEC50;;no SFR;no SFR;calcium imaging;EC50;mineral oil;mineral oil;;10^-2 -  (vol/vol);;http://www3.interscience.wiley.com/journal/113463050/abstract;10.1002/neu.20333
Pelz.2006.AntEC50;Pelz et.al.,2006;Pelz.2006.ALEC50;;no SFR;no SFR;calcium imaging;EC50;mineral oil;mineral oil;;10^-2 -  (vol/vol);;http://www3.interscience.wiley.com/journal/113463050/abstract;10.1002/neu.20333
Schmuker.2007.TR;Schmuker et.al.,2007;;;yes;yes;electrophysiology;spikes;;;;;data from de Bruyne et.al.,2001;http://www.journal.chemistrycentral.com/content/1/1/11;10.1186/1752-153X-1-11
Stensmyr.2003.WT;Stensmyr et.al.,2003;;;no;no;electrophysiology;spikes;identical filter papers with 10 ml of the solvent.;GC coupled odor presentation <br>Tested odorants were diluted in paraffin oil (except acetoin, which was diluted in water);;;;http://jeb.biologists.org/cgi/content/abstract/206/4/715;10.1242/jeb.00143
Turner.2009.SC;Turner et. Al., 2009;;;no;yes;electrophysiology;spikes;paraffin oil;paraffin oil;;10^-2 -  (vol/vol);;http://www.nature.com/nature/journal/v461/n7261/full/nature08295.html;10.1038/nature08295
van.der.Goes.van.Naters.2007.EN;Van der Goes van Naters et.al.,2007;;;yes;no;electrophysiology;spikes;pure hexane;paraffin oil;;;;http://www.cell.com/current-biology/retrieve/pii/S0960982207010202;10.1016/j.cub.2007.02.043
Yao.2005.WT;Yao et.al.,2005;;;yes;yes;electrophysiology;spikes;paraffin oil;paraffin oil;;;;http://www.jneurosci.org/cgi/content/short/25/37/8359;10.1523/JNEUROSCI.2432-05.2005
Marshall.2010.WT1;Marshall et.al.,2010;Marshall.2010.WT2;;no;yes;electrophysiology;spikes;;paraffin oil and water;no;10^-2 -  (vol/vol);;http://chemse.oxfordjournals.org/content/35/7/613;10.1093/chemse/bjq050
Marshall.2010.WT2;Marshall et.al.,2010;Marshall.2010.WT1;;no;yes;electrophysiology;spikes;;paraffin oil, water, acetonitrile;yes;10^-2 -  (vol/vol);illicit substances, only data with solvent subtracted available;http://chemse.oxfordjournals.org/content/35/7/613;10.1093/chemse/bjq050
DeBruyne.2010.WT;de Bruyne et.al.,2010;;;no;yes;electrophysiology;spikes;paraffin oil;paraffin oil;;10^-2 -  (vol/vol);;http://link.springer.com/article/10.1007/s00359-009-0496-6;10.1007/s00359-009-0496-6
Dweck.2013.WT;Dweck et al. 2013;;;no;yes;electrophysiology;spikes;;mineral oil?;yes;10^-2 -  (vol/vol);10 odors existed multiple times in the data set because e.g. substances from different companies were tested, we aggregated these by averaging.;http://www.cell.com/current-biology/abstract/S0960-9822(13)01322-5;10.1016/j.cub.2013.10.047
