"","OR","excluded"
"1","ac1A","Yao.2005.WT, Marshall.2010.WT"
"2","ac1B",NA
"3","ac2A",NA
"4","ac2B",NA
"5","ac3A",NA
"6","ac3B",NA
"7","ac4",NA
"8","Or1a",NA
"9","Or2a","Montague.2011.EN"
"10","Or7a","Montague.2011.EN"
"11","Or9a",NA
"12","Or10a","Stensmyr.2003.WT"
"13","Or13a","Montague.2011.EN"
"14","Or19a","Hallem.2006.EN, Hallem.2004.EN"
"15","Or22a",NA
"16","Or22b",NA
"17","Or22c","Kreher.2008.EN, Montague.2011.EN"
"18","Or23a",NA
"19","Or24a","Kreher.2008.EN, Montague.2011.EN"
"20","Or30a","Montague.2011.EN"
"21","Or33a",NA
"22","Or33b","Montague.2011.EN"
"23","Or33c","Goldman.2005.EN, Grabe.2016"
"24","Or35a","Montague.2011.EN"
"25","Or42a","Montague.2011.EN"
"26","Or42b","Montague.2011.EN, Gabler.2013.AL"
"27","Or43a",NA
"28","Or43b",NA
"29","Or45a","Montague.2011.EN"
"30","Or45b","Montague.2011.EN"
"31","Or46a","Marshall.2010.WT"
"32","Or47a","Montague.2011.EN"
"33","Or47b","Hallem.2006.EN, Pelz.2005.Or47bnmr, Hallem.2004.EN, Hallem.2004.WT, Muench.2016.AntGC1"
"34","Or49a","Montague.2011.EN"
"35","Or49b",NA
"36","Or59a","Montague.2011.EN"
"37","Or59b","Stensmyr.2003.WT"
"38","Or59c",NA
"39","Or65a","Dweck.2015b.WT, van.der.Goes.van.Naters.2007.EN"
"40","Or67a",NA
"41","Or67b","Montague.2011.EN"
"42","Or67c",NA
"43","Or67d","van.der.Goes.van.Naters.2007.EN"
"44","Or71a",NA
"45","Or74a","Montague.2011.EN"
"46","Or82a","Montague.2011.EN"
"47","Or85a",NA
"48","Or85b","Stensmyr.2003.WT"
"49","Or85c","Montague.2011.EN"
"50","Or85d",NA
"51","Or85e",NA
"52","Or85f",NA
"53","Or88a","Hallem.2006.EN, Hallem.2004.EN"
"54","Or92a",NA
"55","Or94a","Montague.2011.EN, Dweck.2015.EN"
"56","Or94b","Montague.2011.EN, Dweck.2015.EN"
"57","Or98a",NA
"58","Gr21a.Gr63a","Marshall.2010.WT"
"59","ab2B","Stensmyr.2003.WT"
"60","ab4B","Bruyne.2001.RR, Marshall.2010.WT"
"61","ab5B",NA
"62","pb2A","Goldman.2005.WT, Marshall.2010.WT, Bruyne.1999.WT"
"63","Or69a",NA
"64","ac1",NA
"65","ac2",NA
"66","ac3_noOr35a",NA
"67","Ir31a",NA
"68","Ir41a",NA
"69","Ir75a",NA
"70","Ir75d",NA
"71","Ir76a",NA
"72","Ir84a",NA
"73","Ir92a",NA
"74","Ir64a.DC4",NA
"75","Ir64a.DP1m",NA
"76","ac1BC",NA
"77","ac2BC",NA
"78","Or83c",NA
