"","study","min","max","n_odors"
"1","Bruyne.2001.RR",0,203,50
"2","Bruyne.2001.WT",-1.2,234.667,13
"3","Bruyne.2010.WT",-5.25,268.667,13
"4","Dobritsa.2003.EN",0,276,19
"5","Dobritsa.2003.WT",0,114,12
"6","Dweck.2013.WT",-10,178,474
"7","Dweck.2015b.WT",-16,202,43
"8","Dweck.2015.EN",-20.4,248.8,12
"9","Dweck.2015.WT",-34,207.333,101
"10","Gabler.2013.AL",-0.15,0.8,22
"11","Galizia.2009.nmr",0,1.24280422381079,107
"12","Goldman.2005.EN",-14,276,12
"13","Goldman.2005.WT",-29,259,12
"14","Hallem.2006.EN",-24,294,111
"15","Kreher.2005.EN",0,301,32
"16","Kreher.2008.EN",-31,297,30
"17","Kwon.2007.EN",-1.7,78.3,14
"18","Kwon.2007.WT",-31,68,14
"19","Marshall.2010.WT",-34,246,44
"20","Montague.2011.EN",-14,155,28
"21","Nissler.2007.EC50",0,5.47,18
"22","Nissler.2007.nmr",-0.129294,1.3446,111
"23","Pelz.2005.ALnmr",0,0.896,70
"24","Pelz.2005.Antnmr",-0.38,0.58,72
"25","Pelz.2005.Or47bnmr",-6.41,2.75,12
"26","Pelz.2006.ALEC50",1.97,6.9,40
"27","Pelz.2006.AntEC50",2.04,6.62,26
"28","Ronderos.2014.WT",-17,200,125
"29","Schmuker.2007.TR",-6,200,49
"30","Silbering.2011.AL",-8.543,28.479,24
"31","Silbering.2011.AL_8a",-6.167,29.234,24
"32","Silbering.2011.WT",-51.5,203,172
"33","Stensmyr.2003.WT",0,150,25
"34","Stensmyr.2012.WT",-20,174,103
"35","Turner.2009.SC",-40,96,48
"36","van.der.Goes.van.Naters.2007.EN",0.029,111.796,7
"37","Yao.2005.WT",-6,314,48
"38","Hallem.2004.EN",-17.417,255.833,56
"39","Hallem.2004.WT",-2.621,257.833,45
"40",NA,-1.016,3.256,113
"41","Muench.2016.AntGC3",-3.512,17.611,108
"42","Bruyne.1999.WT",3.833,183.56,18
"43","data/Grabe.2016",-46,241.33,528
